"id","categoria_id","nome","descricao","preco_centavos","status_ativo","tags","ordem","foto_url","created_at"
"58035d67-b695-4e4c-aed4-2323ce5e5320","277a6410-5aaf-40b2-8ad4-208b2ca0dbd4",Castagno,"Massa 0 açúcar com farinha de arroz, xilitol, chocolate 60% e castanha de cajú.",1200,true,,10,https://github.com/oMatheussch/images/blob/main/castagno.jpg?raw=true,2025-10-13 21:03:56.458 -0300
"84bd157f-b8eb-4867-8120-76df62d55992","5a3d1664-61e5-4a28-807b-9c254968583b",Velvetto,Massa Red com chocolate branco com recheio de brigadeiro brûlée.,1200,true,,8,https://github.com/oMatheussch/images/blob/main/velvetto.JPG?raw=true,2025-10-13 21:03:56.458 -0300
"1","7d52262b-8ba1-4d58-af1e-10d422b62ab5",Nero Assoluto,Massa preta com chocolate preto.,800,true,,3,https://github.com/oMatheussch/images/blob/main/nero.JPG?raw=true,2025-10-13 19:55:52.916 -0300
"4ad3c4e4-b066-43e8-8d45-b0f15431ea7c","7d52262b-8ba1-4d58-af1e-10d422b62ab5",Bacio Doppio,Massa preta com chocolate meio amargo e branco.,800,true,,5,https://github.com/oMatheussch/images/blob/main/doppio.JPG?raw=true,2025-10-13 21:03:56.458 -0300
"87ecb67e-32fb-441a-9738-b0382218bc40","5a3d1664-61e5-4a28-807b-9c254968583b",Cappuccino,Massa preta com café e chocolate meio amargo e branco com recheio de brigadeiro de café.,1200,true,,9,https://github.com/oMatheussch/images/blob/main/cappuccino.JPG?raw=true,2025-10-13 21:03:56.458 -0300
"5807d08d-cfa2-4fb8-a34d-b6e5025b8882","7d52262b-8ba1-4d58-af1e-10d422b62ab5",Ciocco Bianco,Massa preta com chocolate branco.,800,true,,4,https://github.com/oMatheussch/images/blob/main/bianco.jpg?raw=true,2025-10-13 22:58:34.693 -0300
"38e9da39-937a-4d5b-a932-a37d87d4c74e","5a3d1664-61e5-4a28-807b-9c254968583b",Nutelletto,Massa tradicional com chocolate meio amargo com recheio de Nutella.,1000,true,,7,https://github.com/oMatheussch/images/blob/main/nutelletto.JPG?raw=true,2025-10-13 21:03:56.458 -0300
"786f66ec-3a0e-43ea-9204-6a26a28f41b6","277a6410-5aaf-40b2-8ad4-208b2ca0dbd4",Amaro,"Massa 0 açúcar com farinha de arroz, chocolate em pó, xilitol, chocolate 60%, nozes e castanha de cajú.",1400,false,,11,,2025-10-13 21:03:56.458 -0300
